lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,ID,src
5.513,125.078,26.000,15.000,EQ,6.900,2017-04-28 20:23:17.280,54.908,1.380,152.654,79.870,155.031,44.512,104.389,315.244,47.230,76.271,100048,05-18-17
6.114,125.307,87.830,15.000,EQ,5.400,2016-08-06 09:08:23.610,83.826,9.626,174.003,1.044,128.514,83.953,352.423,219.317,82.465,-173.900,100049,05-18-17
7.249,122.939,22.000,15.000,EQ,6.800,1976-08-17 04:19:27.300,74.269,23.796,169.988,12.735,120.472,82.563,333.582,214.151,63.821,-171.708,100059,05-18-17
6.922,124.069,41.000,15.000,EQ,6.000,1976-09-29 21:02:32.700,272.674,76.500,131.332,10.618,231.656,35.128,284.424,34.198,56.133,-99.940,100060,05-18-17
6.772,123.740,52.000,15.000,EQ,6.100,1977-03-02 09:53:23.200,206.095,9.427,95.333,64.903,135.327,58.363,117.358,270.718,40.873,53.280,100062,05-18-17
7.186,123.258,24.000,15.000,EQ,5.700,1977-05-02 21:53:56.500,226.531,51.062,327.524,8.759,22.135,48.876,215.959,266.629,63.747,-47.166,100065,05-18-17
6.783,123.783,43.000,15.000,EQ,5.600,1978-04-04 06:56:06.300,268.108,12.235,152.326,63.500,330.951,38.494,50.889,197.040,61.121,116.642,100077,05-18-17
6.682,123.982,46.000,15.000,EQ,5.600,1978-10-01 13:23:50.100,260.420,6.073,148.973,73.777,334.171,41.083,66.829,183.760,52.832,108.934,100085,05-18-17
5.767,124.730,81.000,15.000,EQ,5.500,1979-02-11 17:30:18.200,228.671,17.340,95.868,65.321,294.127,31.431,55.892,152.567,64.420,108.917,100091,05-18-17
5.683,124.696,61.000,15.000,EQ,5.500,1979-02-19 00:35:46.300,231.839,29.717,76.248,57.920,151.059,75.605,101.350,292.142,18.257,52.521,100093,05-18-17
7.268,123.273,40.000,15.000,EQ,5.400,1979-04-01 13:13:24.900,31.904,63.383,166.011,19.229,229.048,30.112,232.738,90.377,66.466,-70.651,100095,05-18-17
5.861,125.295,85.000,15.000,EQ,6.100,1979-11-19 22:17:20.200,168.595,5.731,266.629,54.321,290.897,49.835,138.759,50.383,59.750,48.301,100106,05-18-17
6.677,123.894,44.000,15.000,EQ,5.500,1980-12-12 21:07:23.500,266.032,11.896,124.305,74.979,344.330,34.034,73.700,183.766,57.508,100.733,100122,05-18-17
5.731,125.543,153.200,15.000,EQ,6.600,1984-10-29 23:18:05.180,241.278,40.395,27.717,44.401,135.049,87.908,72.482,38.452,17.639,173.080,100212,05-18-17
7.496,123.500,35.600,15.000,EQ,6.400,1985-08-04 02:36:23.870,250.118,20.073,149.291,27.205,198.412,85.379,145.402,291.593,55.531,5.608,100233,05-18-17
5.644,125.259,31.900,15.000,EQ,6.600,1986-06-17 18:13:11.550,82.266,12.406,323.302,65.570,147.277,37.278,54.305,9.356,60.535,113.947,100249,05-18-17
5.575,125.406,87.500,15.000,EQ,5.500,1986-07-12 10:17:25.560,83.221,21.198,295.290,65.407,2.978,67.215,102.912,152.354,26.019,61.989,100251,05-18-17
5.722,125.331,71.600,15.000,EQ,5.600,1986-10-29 20:11:39.730,92.631,16.126,339.044,54.150,26.818,67.868,123.823,146.167,39.687,36.155,100259,05-18-17
6.802,123.970,51.700,15.000,EQ,5.600,1988-07-12 17:00:08.620,278.821,11.744,130.226,76.310,359.804,33.804,77.466,194.782,57.106,98.267,100315,05-18-17
5.877,125.621,80.400,15.000,EQ,5.200,1989-07-04 19:42:41.430,237.457,8.163,334.158,39.127,111.964,69.769,35.631,8.043,56.865,155.609,100350,05-18-17
5.898,124.424,55.800,15.000,EQ,6.100,1989-08-10 01:55:57.210,240.703,25.409,51.354,64.293,339.135,19.861,100.797,147.673,70.505,86.129,100356,05-18-17
5.875,124.431,42.900,15.000,EQ,5.400,1989-08-10 08:23:45.030,235.393,12.204,357.761,68.001,130.358,59.593,68.988,347.552,36.380,121.424,100357,05-18-17
5.977,124.379,44.400,15.000,EQ,5.700,1989-08-10 11:46:28.780,246.002,13.890,15.188,68.626,356.884,34.084,119.297,142.766,60.743,71.680,100358,05-18-17
6.117,124.992,14.300,15.000,EQ,5.400,1989-11-25 15:10:50.430,264.596,35.445,173.876,1.012,44.990,66.573,207.420,303.336,65.004,-26.019,100370,05-18-17
5.643,125.247,77.800,15.000,EQ,5.700,1990-11-07 14:36:27.790,82.729,3.794,338.203,75.189,157.884,43.080,68.807,5.846,50.445,108.678,100407,05-18-17
5.623,125.330,74.200,15.000,EQ,5.400,1991-04-29 22:06:02.010,110.043,5.716,240.436,81.220,13.977,51.068,81.448,207.435,39.714,100.431,100424,05-18-17
