lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,ID,src
20.682,122.565,15.610,15.000,EQ,4.300,2014-04-25 01:52:32.470,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101372,05-18-17
20.425,121.960,37.000,15.000,EQ,4.400,1977-08-19 00:19:52.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102410,05-18-17
16.521,120.832,66.200,15.000,EQ,4.500,2004-01-31 10:33:35.980,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100877,05-18-17
19.175,122.509,38.000,15.000,EQ,4.600,1979-08-26 16:08:27.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102395,05-18-17
16.588,120.949,87.700,15.000,EQ,4.300,2004-11-08 10:18:13.870,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100880,05-18-17
20.730,122.003,30.000,15.000,EQ,6.000,1970-09-30 09:52:24.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102420,05-18-17
16.535,120.454,67.500,15.000,EQ,4.600,2011-02-17 22:20:54.520,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100886,05-18-17
16.367,120.962,29.500,15.000,EQ,4.200,2012-11-16 01:18:34.020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100887,05-18-17
16.448,120.805,10.500,15.000,EQ,4.400,2013-06-23 16:49:21.280,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100889,05-18-17
16.659,121.061,80.300,15.000,EQ,4.400,2004-11-08 10:09:15.710,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100895,05-18-17
16.369,121.132,49.800,15.000,EQ,4.500,2007-05-02 01:06:02.380,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100896,05-18-17
16.827,121.224,58.100,15.000,EQ,4.500,2008-02-13 13:12:03.050,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100897,05-18-17
16.472,121.289,54.900,15.000,EQ,4.800,2010-12-13 00:24:43.020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100898,05-18-17
16.462,121.210,28.200,15.000,EQ,4.600,2011-01-21 00:55:24.430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100899,05-18-17
16.494,121.137,42.600,15.000,EQ,4.600,2011-10-09 13:25:36.280,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100900,05-18-17
20.274,122.035,35.200,15.000,EQ,5.400,2008-04-01 13:09:23.990,303.733,3.559,35.245,22.987,171.741,76.571,19.211,77.115,71.334,165.810,100273,05-18-17
20.070,121.996,16.700,15.000,EQ,5.100,2016-04-05 16:21:03.740,291.499,11.343,26.241,22.399,160.418,82.509,24.333,67.044,65.888,171.788,100393,05-18-17
19.981,121.810,42.000,15.000,EQ,5.000,1990-02-21 22:14:37.970,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101940,05-18-17
20.154,122.370,36.200,15.000,EQ,5.200,2004-07-31 04:48:22.830,257.151,2.435,347.269,2.762,122.217,89.769,3.676,32.202,86.324,179.768,100192,05-18-17
19.911,122.530,26.500,15.000,EQ,4.100,1987-05-27 19:32:24.370,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101958,05-18-17
19.761,122.015,51.900,15.000,EQ,4.500,1987-11-06 00:14:02.260,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101959,05-18-17
19.989,122.335,19.000,15.000,EQ,4.300,1988-07-18 14:45:59.350,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101960,05-18-17
19.808,122.157,58.000,15.000,EQ,4.500,1988-07-24 18:46:08.950,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101961,05-18-17
19.939,122.172,31.000,15.000,EQ,4.800,1988-10-26 07:38:02.490,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101962,05-18-17
19.890,122.189,39.200,15.000,EQ,4.900,1988-12-04 06:20:47.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101963,05-18-17
19.902,122.074,16.600,15.000,EQ,5.400,1988-12-04 06:33:18.070,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101964,05-18-17
19.989,122.023,28.000,15.000,EQ,4.500,1988-12-04 21:42:43.660,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101965,05-18-17
19.920,122.112,38.800,15.000,EQ,4.500,1988-12-24 07:22:37.940,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101966,05-18-17
19.828,122.073,60.100,15.000,EQ,4.500,1988-12-24 07:54:40.460,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101967,05-18-17
19.987,122.079,30.500,15.000,EQ,4.600,1991-06-14 02:01:55.570,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101968,05-18-17
19.452,122.138,69.000,15.000,EQ,3.800,1995-05-04 18:17:24.820,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101969,05-18-17
20.005,121.892,30.700,15.000,EQ,5.200,1988-12-09 23:10:46.950,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101983,05-18-17
20.633,121.964,23.900,15.000,EQ,4.300,1991-10-20 11:17:30.020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101986,05-18-17
20.018,121.954,48.300,15.000,EQ,4.400,1993-04-21 16:57:36.920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101992,05-18-17
17.087,121.395,39.700,15.000,EQ,4.200,2011-03-23 17:37:30.480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100969,05-18-17
