lat,lon,depth,unc,etype,ID,mag,time,S1,D1,R1,S2,D2,R2,src
35.46,136.10,34.41,10.00,RF,700000,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.47,136.14,32.25,10.00,RF,700001,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.48,136.18,30.74,10.00,RF,700002,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.49,136.24,29.83,10.00,RF,700003,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.50,136.29,28.98,10.00,RF,700004,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.51,136.34,28.40,10.00,RF,700005,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.52,136.39,27.82,10.00,RF,700006,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.54,136.44,27.48,10.00,RF,700007,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.55,136.50,27.32,10.00,RF,700008,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.56,136.55,27.16,10.00,RF,700009,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.57,136.60,27.10,10.00,RF,700010,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.59,136.66,27.09,10.00,RF,700011,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.60,136.71,27.20,10.00,RF,700012,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.61,136.76,27.57,10.00,RF,700013,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.62,136.81,28.00,10.00,RF,700014,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.63,136.87,28.93,10.00,RF,700015,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.65,136.92,29.93,10.00,RF,700016,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.65,136.96,31.94,10.00,RF,700017,nan,nan,nan,nan,nan,nan,nan,nan,iid
35.66,137.00,33.95,10.00,RF,700018,nan,nan,nan,nan,nan,nan,nan,nan,iid
