lat,lon,depth,unc,etype,ID,mag,time,S1,D1,R1,S2,D2,R2,src
35.52,139.98,59.16,10.0,ER,500027,4.1,nan,nan,nan,nan,nan,nan,nan,hyu
36.41,137.35,242.06,10.0,ER,500036,4.1,nan,nan,nan,nan,nan,nan,nan,hyu
36.14,138.72,144.95,10.0,ER,500044,4.9,nan,nan,nan,nan,nan,nan,nan,hyu
35.96,139.5,99.76,10.0,ER,500048,4.4,nan,nan,nan,nan,nan,nan,nan,hyu
36.03,139.43,68.11,10.0,ER,500050,4.2,nan,nan,nan,nan,nan,nan,nan,hyu
36.93,135.36,351.0,10.0,ER,500051,4.2,nan,nan,nan,nan,nan,nan,nan,hyu
36.34,139.91,79.48,10.0,ER,500052,4.1,nan,nan,nan,nan,nan,nan,nan,hyu
36.42,138.81,147.38,10.0,ER,500054,4.6,nan,nan,nan,nan,nan,nan,nan,hyu
37.38,134.79,390.55,10.0,ER,500055,4.1,nan,nan,nan,nan,nan,nan,nan,hyu
36.16,139.91,59.25,10.0,ER,500056,4.2,nan,nan,nan,nan,nan,nan,nan,hyu
35.87,139.82,81.5,10.0,ER,500058,4.1,nan,nan,nan,nan,nan,nan,nan,hyu
36.25,137.31,257.86,10.0,ER,500059,4.5,nan,nan,nan,nan,nan,nan,nan,hyu
36.67,137.5,242.98,10.0,ER,500069,4.7,nan,nan,nan,nan,nan,nan,nan,hyu
36.91,135.37,363.97,10.0,ER,500073,4.0,nan,nan,nan,nan,nan,nan,nan,hyu
37.2,138.46,182.82,10.0,ER,500087,4.8,nan,nan,nan,nan,nan,nan,nan,hyu
35.84,139.21,78.15,10.0,ER,500088,4.4,nan,nan,nan,nan,nan,nan,nan,hyu
36.44,139.8,90.64,10.0,ER,500089,4.3,nan,nan,nan,nan,nan,nan,nan,hyu
35.78,139.9,89.64,10.0,ER,500090,4.5,nan,nan,nan,nan,nan,nan,nan,hyu
36.05,139.97,69.96,10.0,ER,500095,4.4,nan,nan,nan,nan,nan,nan,nan,hyu
35.51,135.72,355.12,10.0,ER,500099,5.0,nan,nan,nan,nan,nan,nan,nan,hyu
36.84,139.43,118.61,10.0,ER,500114,4.6,nan,nan,nan,nan,nan,nan,nan,hyu
36.18,139.35,148.52,10.0,ER,500118,4.3,nan,nan,nan,nan,nan,nan,nan,hyu
36.01,139.79,82.81,10.0,ER,500138,4.7,nan,nan,nan,nan,nan,nan,nan,hyu
36.37,138.99,155.62,10.0,ER,500150,4.6,nan,nan,nan,nan,nan,nan,nan,hyu
36.99,136.97,263.62,10.0,ER,500158,4.2,nan,nan,nan,nan,nan,nan,nan,hyu
37.48,134.16,412.27,10.0,ER,500163,4.2,nan,nan,nan,nan,nan,nan,nan,hyu
36.08,139.84,64.85,10.0,ER,500172,4.7,nan,nan,nan,nan,nan,nan,nan,hyu
36.3,137.38,275.51,10.0,ER,500179,4.0,nan,nan,nan,nan,nan,nan,nan,hyu
36.43,137.99,224.63,10.0,ER,500184,4.3,nan,nan,nan,nan,nan,nan,nan,hyu
36.1,139.8,62.49,10.0,ER,500187,4.6,nan,nan,nan,nan,nan,nan,nan,hyu
36.02,139.72,91.78,10.0,ER,500191,4.8,nan,nan,nan,nan,nan,nan,nan,hyu
