lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,ID,src
-5.148,-74.909,10.220,15.000,EQ,5.100,2017-02-20 07:45:10.440,82.659,2.096,175.143,49.823,206.225,55.519,141.388,320.554,59.042,41.313,100368,05-18-17
-5.789,-76.142,18.600,15.000,EQ,5.000,1995-02-16 09:35:17.940,38.154,21.757,202.010,67.438,303.453,66.990,83.820,138.936,23.782,104.224,101976,05-18-17
-3.634,-77.374,35.500,15.000,EQ,4.000,2011-07-14 23:28:02.590,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124434,05-18-17
-3.825,-77.504,48.590,15.000,EQ,4.300,2014-02-22 15:35:49.530,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124439,05-18-17
-6.510,-77.045,47.500,15.000,EQ,4.900,1984-07-11 06:09:41.730,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137796,05-18-17
-6.162,-75.758,45.400,15.000,EQ,5.300,1984-10-03 23:55:19.760,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137803,05-18-17
-5.852,-78.704,40.000,15.000,EQ,5.400,2005-10-31 02:10:28.700,272.294,16.164,11.920,29.981,48.610,56.619,169.198,144.603,80.996,33.853,102498,05-18-17
-5.762,-76.109,22.300,15.000,EQ,5.600,1995-02-12 01:02:07.240,27.682,4.070,249.548,84.542,301.083,49.178,94.800,113.763,41.054,84.468,101974,05-18-17
-5.183,-78.424,92.000,15.000,EQ,4.800,1973-02-06 04:09:06.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137815,05-18-17
-5.240,-78.524,21.000,15.000,EQ,5.000,1977-03-30 18:53:36.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137816,05-18-17
-5.346,-78.125,91.000,15.000,EQ,4.900,1981-08-03 13:37:47.360,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137819,05-18-17
-5.580,-78.777,52.700,15.000,EQ,4.700,1983-04-04 02:01:10.420,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137820,05-18-17
-5.006,-78.105,25.600,15.000,EQ,5.200,1983-11-22 15:15:14.960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137821,05-18-17
-5.549,-77.084,48.000,15.000,EQ,4.600,1973-01-30 17:36:20.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137822,05-18-17
-5.685,-77.101,58.000,15.000,EQ,4.700,1973-08-07 05:56:24.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137823,05-18-17
-5.642,-77.040,28.000,15.000,EQ,4.600,1974-04-18 03:53:35.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137824,05-18-17
-5.510,-77.298,78.000,15.000,EQ,5.000,1975-12-08 01:50:19.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137825,05-18-17
-5.750,-77.094,49.000,15.000,EQ,5.000,1977-05-13 13:35:16.900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137826,05-18-17
-5.707,-77.040,81.000,15.000,EQ,4.700,1977-09-28 01:01:52.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137827,05-18-17
-5.355,-77.520,34.000,15.000,EQ,5.000,1979-09-13 04:40:58.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137828,05-18-17
-5.150,-77.654,89.200,15.000,EQ,4.400,1981-11-30 07:48:39.510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137829,05-18-17
-5.624,-77.540,61.000,15.000,EQ,4.600,1982-04-18 14:15:57.070,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137830,05-18-17
-5.475,-77.439,17.000,15.000,EQ,4.900,1982-05-25 05:19:01.840,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137831,05-18-17
-5.592,-77.056,29.200,15.000,EQ,5.000,1983-11-13 22:38:45.680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137832,05-18-17
-4.246,-78.121,40.700,15.000,EQ,4.900,1989-03-02 11:32:54.830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134451,05-18-17
-5.288,-76.598,36.800,15.000,EQ,4.400,1984-07-29 06:02:29.140,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137835,05-18-17
-5.220,-75.586,42.000,15.000,EQ,5.300,1978-03-24 00:31:22.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137838,05-18-17
-5.785,-74.492,22.000,15.000,EQ,4.600,1974-02-12 08:33:15.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137839,05-18-17
-5.731,-77.107,22.700,15.000,EQ,4.500,1996-05-06 18:30:57.350,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134419,05-18-17
-4.235,-78.032,47.600,15.000,EQ,4.600,2009-05-04 02:03:14.990,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124350,05-18-17
-4.915,-77.701,76.000,15.000,EQ,4.600,1974-04-01 15:34:12.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137860,05-18-17
-4.670,-77.762,69.000,15.000,EQ,4.800,1978-03-14 17:20:47.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137863,05-18-17
-4.019,-76.637,46.000,15.000,EQ,4.400,1979-03-16 07:03:34.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137868,05-18-17
-4.533,-73.396,48.000,15.000,EQ,4.800,1974-03-21 19:28:24.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,137874,05-18-17
-6.157,-75.190,41.150,15.000,EQ,4.300,2016-10-14 20:26:06.320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139971,05-18-17
-6.263,-76.512,35.700,15.000,EQ,4.300,2010-04-21 16:08:32.130,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124187,05-18-17
-6.590,-76.143,16.700,15.000,EQ,4.900,2010-09-02 13:28:07.270,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124188,05-18-17
-5.784,-76.900,27.000,15.000,EQ,4.800,1991-04-15 22:54:47.980,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134429,05-18-17
-6.065,-76.734,29.490,15.000,EQ,4.700,2016-01-25 08:28:08.170,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139966,05-18-17
-6.138,-76.740,54.800,15.000,EQ,4.400,2016-02-11 22:25:35.180,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139967,05-18-17
-6.204,-76.083,57.150,15.000,EQ,4.200,2016-07-16 13:15:22.040,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139968,05-18-17
-6.347,-76.733,19.740,15.000,EQ,4.500,2016-09-15 06:42:22.760,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139969,05-18-17
-6.191,-75.139,43.500,15.000,EQ,4.000,2016-01-18 01:28:42.230,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139970,05-18-17
-4.950,-77.205,27.000,15.000,EQ,4.500,2012-08-21 04:34:22.050,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124363,05-18-17
-5.378,-78.653,18.400,15.000,EQ,5.300,1985-07-26 17:56:58.440,77.225,14.245,274.381,75.121,350.794,59.376,94.894,161.252,30.975,81.799,101572,05-18-17
-5.230,-79.144,78.580,15.000,EQ,4.200,2016-08-15 11:16:32.020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139976,05-18-17
-5.246,-78.812,16.600,15.000,EQ,4.600,2016-12-07 10:24:56.410,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139977,05-18-17
-5.712,-77.193,66.540,15.000,EQ,4.200,2016-02-03 04:45:08.690,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139978,05-18-17
-4.311,-78.335,38.920,15.000,EQ,4.900,2016-04-09 07:15:13.030,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139984,05-18-17
-4.591,-77.873,70.360,15.000,EQ,4.100,2016-04-24 19:33:16.220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139985,05-18-17
-4.464,-76.933,10.970,15.000,EQ,4.800,2017-03-25 18:06:44.750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,139986,05-18-17
-6.019,-77.147,30.800,15.000,EQ,4.800,1990-05-30 09:53:15.160,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134373,05-18-17
-6.041,-77.095,37.800,15.000,EQ,4.700,1990-06-03 07:57:28.030,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134374,05-18-17
-6.128,-77.121,43.500,15.000,EQ,5.000,1990-06-08 21:30:45.170,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134375,05-18-17
-6.168,-77.100,35.300,15.000,EQ,4.800,1990-06-15 07:21:57.470,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134376,05-18-17
-6.013,-77.088,42.300,15.000,EQ,4.400,1991-04-04 22:54:41.310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134377,05-18-17
-6.089,-77.002,42.700,15.000,EQ,5.200,1991-04-05 17:13:57.270,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134378,05-18-17
-6.373,-76.819,97.600,15.000,EQ,4.500,1985-01-31 03:36:16.520,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134380,05-18-17
-6.071,-76.993,46.900,15.000,EQ,4.200,1991-04-04 20:09:04.590,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134383,05-18-17
-6.051,-76.902,31.600,15.000,EQ,4.600,1991-04-05 20:37:29.270,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134384,05-18-17
-6.040,-76.998,40.300,15.000,EQ,5.100,1991-04-06 14:21:47.260,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134385,05-18-17
-6.093,-76.942,35.300,15.000,EQ,4.700,1991-04-28 08:09:45.140,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134386,05-18-17
-6.010,-76.895,44.800,15.000,EQ,4.800,1991-05-13 17:42:24.060,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134387,05-18-17
-6.123,-75.112,53.000,15.000,EQ,4.600,1986-12-12 16:56:39.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134390,05-18-17
-6.098,-75.947,30.400,15.000,EQ,5.300,1997-07-23 14:03:29.990,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134396,05-18-17
