lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,mlon,mlat,mdep,ID,src
-8.988,159.513,89.200,15.000,EQ,4.100,2008-01-16 18:35:23.450,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114560,121817
-8.370,159.348,68.100,15.000,EQ,4.800,2008-03-28 06:54:14.450,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114561,121817
-8.768,159.645,105.900,15.000,EQ,4.100,2008-08-09 10:56:34.550,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114562,121817
-8.893,159.633,121.300,15.000,EQ,5.000,2009-04-10 13:21:51.120,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114564,121817
-8.722,159.387,118.800,15.000,EQ,4.800,2009-10-01 07:02:25.770,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114566,121817
-8.661,159.579,97.200,15.000,EQ,4.500,1987-09-02 14:55:47.350,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107757,121817
-8.321,159.951,58.010,15.000,EQ,4.600,2016-11-05 20:47:50.820,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105070,121817
-7.938,159.588,21.400,15.000,EQ,4.900,2004-08-02 22:59:36.100,8.494,16.003,243.306,63.540,71.159,34.108,51.375,295.139,64.018,112.917,159.540,-7.750,23.200,101398,121817
-8.230,159.498,158.800,15.000,EQ,4.100,2017-10-31 12:31:05.020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102681,121817
-8.484,159.138,105.900,15.000,EQ,5.000,1990-03-03 02:25:39.010,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,109978,121817
-8.551,159.319,78.400,15.000,EQ,4.700,1991-04-07 20:18:10.010,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,109979,121817
-8.629,159.005,130.200,15.000,EQ,4.900,1991-09-02 03:48:44.850,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,109980,121817
-8.766,159.431,172.900,15.000,EQ,4.400,1991-12-30 15:22:09.440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,109981,121817
-8.986,159.626,187.100,15.000,EQ,4.800,1992-05-07 01:22:35.190,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,109982,121817
-8.231,159.278,53.160,15.000,EQ,4.700,2016-02-15 21:25:59.570,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105069,121817
-9.034,159.722,132.500,15.000,EQ,4.300,2005-11-18 13:48:32.670,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114466,121817
