lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,ID,src
-0.430,123.383,79.000,15.000,EQ,4.700,2003-06-14 10:47:50.310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100366,05-18-17
-0.453,123.479,130.000,15.000,EQ,4.300,2004-09-03 08:44:12.660,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100374,05-18-17
-0.481,123.672,30.000,15.000,EQ,4.200,2006-06-24 21:35:52.310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100384,05-18-17
-0.377,123.304,40.200,15.000,EQ,4.800,2006-07-23 08:47:11.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100388,05-18-17
-0.463,123.346,43.100,15.000,EQ,4.300,2007-11-12 12:00:08.390,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100395,05-18-17
-0.438,123.871,109.600,15.000,EQ,4.400,2007-12-05 19:41:49.370,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100396,05-18-17
-0.476,123.822,50.200,15.000,EQ,4.200,2010-08-17 21:23:55.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100418,05-18-17
-0.161,121.564,66.100,15.000,EQ,5.800,1983-07-22 04:27:58.230,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101580,05-18-17
-0.403,123.078,73.320,15.000,EQ,4.100,2015-07-07 04:19:02.820,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100456,05-18-17
-0.500,124.187,137.200,15.000,EQ,4.600,2007-12-22 05:44:39.780,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100478,05-18-17
-0.244,121.637,174.400,15.000,EQ,3.700,1998-02-16 18:00:10.640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101057,05-18-17
-0.090,121.652,44.500,15.000,EQ,5.100,1982-08-19 20:05:48.890,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101523,05-18-17
-0.172,121.705,67.800,15.000,EQ,4.700,1983-07-16 14:09:47.310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101524,05-18-17
-0.150,121.660,46.500,15.000,EQ,4.800,1983-07-16 18:17:11.250,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101525,05-18-17
