lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,mlon,mlat,mdep,ID,src
-14.738,169.823,638.0,15.0,EQ,6.3,2014-03-05 09:56:57.840,78.82,40.074,208.071,36.946,142.855,88.269,298.281,236.068,28.33,-176.351,169.62,-14.63,660.5,100012,92217
-13.409,170.376,635.0,15.0,EQ,6.3,1965-04-10 22:53:05.000,289.078,22.123,198.528,1.352,331.601,73.562,344.916,65.963,75.546,-163.009,170.54,-12.99,631.3,100090,92217
-12.884,169.384,649.0,15.0,EQ,4.9,1977-03-17 12:42:30.900,179.108,35.107,280.231,15.345,225.808,77.318,322.51,325.367,53.575,-164.166,168.97,-12.92,649.0,100105,92217
-12.937,169.223,653.0,15.0,EQ,5.1,1981-10-31 07:37:19.880,216.676,74.476,110.193,4.506,6.74,51.262,250.852,215.765,42.535,-67.762,169.0,-12.7,650.0,100180,92217
-12.974,168.819,635.4,15.0,EQ,5.1,1985-02-13 11:10:36.250,29.726,65.876,200.716,23.859,113.496,68.941,273.597,283.574,21.35,-99.253,168.91,-13.07,636.9,100254,92217
-12.824,169.518,665.2,15.0,EQ,5.2,1986-09-07 01:44:19.930,147.023,71.068,303.899,17.508,219.71,62.862,277.848,22.896,28.167,-104.917,169.8,-12.88,671.4,100288,92217
-12.9,169.459,654.0,15.0,EQ,5.3,1987-08-06 11:25:59.230,178.168,25.675,293.224,41.379,317.525,39.304,165.27,59.024,80.732,51.631,168.86,-12.66,627.9,100332,92217
-14.029,170.753,621.9,15.0,EQ,5.7,1992-12-14 07:41:00.340,357.565,81.005,209.643,7.639,305.167,37.588,277.754,115.417,52.814,-95.929,170.87,-13.99,642.5,100507,92217
-13.446,170.434,637.7,15.0,EQ,6.2,1995-04-13 02:34:37.950,307.605,78.094,210.306,1.534,312.178,44.698,286.908,109.025,47.704,-106.055,170.71,-13.34,645.7,100576,92217
-13.983,170.307,600.0,15.0,EQ,5.5,1996-12-02 21:25:28.500,273.363,60.368,178.955,2.503,296.11,49.796,310.154,63.53,54.285,-127.342,170.37,-13.98,627.6,100629,92217
-12.919,169.175,658.9,15.0,EQ,5.3,1998-09-02 20:40:08.960,34.296,33.581,137.614,19.134,180.495,51.473,191.752,83.111,80.831,-39.12,169.38,-12.82,637.4,100654,92217
-12.797,169.531,667.1,15.0,EQ,5.8,2002-01-31 16:27:19.250,49.171,67.214,292.366,10.727,45.531,38.415,303.135,185.734,58.647,-113.435,169.76,-12.57,661.9,100715,92217
-12.913,169.371,643.7,15.0,EQ,5.2,2010-06-10 13:36:07.500,165.692,54.293,286.283,20.092,218.401,70.654,300.005,338.243,35.206,-144.928,169.32,-12.8,665.0,101152,92217
-11.791,168.308,403.4,15.0,EQ,5.6,2011-08-07 06:22:34.420,137.866,36.819,324.091,53.019,210.014,8.653,69.692,50.536,81.889,93.023,168.31,-11.69,409.3,101229,92217
-13.142,169.583,600.8,15.0,EQ,4.9,2013-07-09 15:44:10.910,80.872,35.921,224.006,47.84,226.753,20.118,161.467,334.225,83.724,70.848,169.61,-13.32,613.3,101386,92217
-15.038,170.771,655.16,15.0,EQ,4.5,2014-03-03 07:39:13.340,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102098,92217
-14.778,169.857,642.32,15.0,EQ,4.2,2014-03-05 10:21:54.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102220,92217
-14.781,169.807,653.8,15.0,EQ,4.7,2014-03-05 10:30:26.020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102221,92217
-14.56,169.954,627.24,15.0,EQ,4.7,2014-03-05 17:45:40.320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102222,92217
-14.777,169.855,626.14,15.0,EQ,4.2,2014-04-20 18:43:02.630,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102223,92217
-14.224,170.723,634.93,15.0,EQ,4.4,2014-01-08 17:00:56.440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102225,92217
-14.645,170.46,635.05,15.0,EQ,4.0,2014-11-01 12:34:57.570,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102228,92217
-14.593,170.439,638.14,15.0,EQ,4.3,2015-06-23 22:05:26.720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102229,92217
-14.573,170.549,633.37,15.0,EQ,4.2,2015-07-04 23:39:13.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102230,92217
-14.483,170.695,629.52,15.0,EQ,4.4,2015-09-24 16:49:56.050,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102232,92217
-14.691,170.481,637.11,15.0,EQ,4.2,2015-11-09 08:38:45.190,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102233,92217
-14.289,170.518,621.78,15.0,EQ,4.3,2015-11-28 06:07:50.660,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102234,92217
-13.016,168.923,620.6,15.0,EQ,4.1,2014-07-20 11:01:20.260,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102289,92217
-13.194,168.772,611.67,15.0,EQ,4.3,2015-10-31 21:43:34.830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102291,92217
-13.726,170.481,617.17,15.0,EQ,4.4,2014-05-05 03:18:29.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102292,92217
-13.65,170.214,640.1,15.0,EQ,4.3,2014-08-12 09:50:28.430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102293,92217
-13.637,170.028,616.5,15.0,EQ,4.4,2014-08-15 07:12:18.950,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102294,92217
-12.648,166.522,424.01,15.0,EQ,4.1,2015-04-15 07:30:56.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102325,92217
-12.942,168.945,623.65,15.0,EQ,4.5,2015-12-26 19:17:26.470,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102361,92217
-12.569,169.158,635.35,15.0,EQ,4.2,2014-01-09 13:02:02.020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102362,92217
-12.889,169.569,652.48,15.0,EQ,4.5,2014-02-07 04:46:24.750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102363,92217
-12.743,169.034,641.76,15.0,EQ,4.4,2015-04-19 04:35:20.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102364,92217
-12.995,169.233,642.3,15.0,EQ,4.6,2015-07-01 06:54:59.180,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102365,92217
-12.812,169.38,645.79,15.0,EQ,4.4,2015-12-26 22:43:55.570,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102366,92217
-12.826,169.376,645.05,15.0,EQ,4.7,2015-12-26 22:53:18.770,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102367,92217
-14.501,169.987,637.9,15.0,EQ,4.5,2016-02-26 18:21:24.480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102922,92217
-14.388,170.06,572.05,15.0,EQ,4.1,2016-05-06 12:55:32.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102923,92217
-14.88,170.195,636.34,15.0,EQ,4.4,2016-08-22 17:50:38.930,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102924,92217
-14.633,170.831,612.57,15.0,EQ,4.9,2017-02-09 20:00:45.540,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102925,92217
-14.266,170.428,639.0,15.0,EQ,4.3,2017-04-16 05:59:32.780,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102926,92217
-14.051,170.268,610.69,15.0,EQ,4.8,2017-04-19 05:01:05.980,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102927,92217
-14.606,170.488,636.16,15.0,EQ,4.2,2017-07-23 19:12:17.070,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102928,92217
-13.015,169.112,647.77,15.0,EQ,4.4,2017-04-21 15:49:00.080,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102960,92217
-13.932,170.305,621.35,15.0,EQ,4.3,2016-04-12 06:08:20.220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102961,92217
-13.99,170.755,633.76,15.0,EQ,4.3,2016-08-27 07:41:44.340,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102962,92217
-13.657,170.47,638.66,15.0,EQ,4.3,2017-01-28 18:28:01.760,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102963,92217
-12.81,168.89,638.08,15.0,EQ,4.2,2016-05-14 08:11:42.620,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103013,92217
-12.889,169.049,623.06,15.0,EQ,4.6,2016-01-05 19:48:10.090,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103014,92217
-12.86,169.153,626.6,15.0,EQ,4.1,2016-05-14 08:21:56.250,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103015,92217
-12.853,169.153,636.5,15.0,EQ,4.4,2016-05-14 12:20:21.610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103016,92217
-12.519,169.269,604.72,15.0,EQ,4.3,2016-10-21 00:27:58.910,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103017,92217
-12.956,169.26,626.7,15.0,EQ,4.5,2016-10-31 16:22:35.170,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103018,92217
-12.871,169.421,632.76,15.0,EQ,4.5,2016-11-10 22:04:27.130,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103019,92217
-12.78,169.683,662.16,15.0,EQ,4.6,2017-02-20 00:17:48.890,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103020,92217
-12.931,169.161,650.5,15.0,EQ,4.5,2017-06-08 01:11:56.990,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103021,92217
-14.232,170.904,637.0,15.0,EQ,3.9,1973-02-27 21:44:46.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103691,92217
-14.59,170.696,631.0,15.0,EQ,4.9,1974-08-24 14:01:52.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103692,92217
-13.885,170.581,643.0,15.0,EQ,4.5,1976-07-20 06:21:51.200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103753,92217
