lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,ID,src
25.297,143.249,386.0,15.0,EQ,4.1,1975-07-25 15:41:47.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102424,2017-03-10
24.319,142.412,558.9,15.0,EQ,7.2,1955-05-30 12:31:44.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,111260,2017-03-10
25.014,141.799,508.1,15.0,EQ,3.8,2002-05-23 02:08:40.980,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107179,2017-03-10
25.025,141.634,516.8,15.0,EQ,4.1,2005-12-02 10:19:28.820,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107196,2017-03-10
25.052,141.617,521.8,15.0,EQ,5.0,2005-12-02 10:19:37.340,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107197,2017-03-10
25.685,141.423,536.2,15.0,EQ,3.7,2006-01-18 15:43:26.740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107198,2017-03-10
24.787,141.752,525.9,15.0,EQ,5.9,1998-02-07 01:13:36.810,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102465,2017-03-10
24.821,141.746,525.3,15.0,EQ,6.4,1998-02-07 01:18:59.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102466,2017-03-10
24.132,142.402,567.0,15.0,EQ,5.8,1979-05-18 20:18:01.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102476,2017-03-10
24.113,142.244,591.0,15.0,EQ,5.5,1979-05-25 18:15:41.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102477,2017-03-10
25.113,141.611,513.05,15.0,EQ,4.9,2014-03-14 16:28:57.920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107213,2017-03-10
24.321,142.083,541.6,15.0,EQ,4.5,1991-08-18 14:45:07.260,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102480,2017-03-10
24.33,142.046,549.5,15.0,EQ,5.0,1991-08-18 14:45:26.580,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102481,2017-03-10
24.772,142.096,550.0,15.0,EQ,4.2,1998-02-07 01:38:10.220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102485,2017-03-10
24.784,142.07,531.9,15.0,EQ,3.9,1999-01-22 14:25:49.230,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102486,2017-03-10
24.44,142.683,498.9,15.0,EQ,3.6,2005-08-12 18:21:23.290,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107356,2017-03-10
24.478,142.081,391.3,15.0,EQ,4.4,2007-11-02 10:11:19.930,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107361,2017-03-10
24.945,142.014,510.0,15.0,EQ,6.3,2016-08-04 16:24:33.530,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107381,2017-03-10
24.339,142.202,540.34,15.0,EQ,4.4,2017-02-13 20:22:42.630,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107384,2017-03-10
