lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,ID,src
18.148,-67.915,24.900,15.000,EQ,3.500,2002-02-23 19:18:37.810,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106497,82917
18.251,-67.705,108.500,15.000,EQ,3.300,2002-03-05 08:58:26.390,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106498,82917
18.162,-67.345,6.000,15.000,EQ,3.200,2002-03-06 18:27:47.710,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106499,82917
18.423,-67.386,19.200,15.000,EQ,3.400,2002-03-28 00:51:18.840,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106506,82917
18.545,-67.472,121.000,15.000,EQ,3.100,2002-04-06 04:20:00.610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106507,82917
18.142,-67.238,21.500,15.000,EQ,3.000,2002-04-06 23:21:14.920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106508,82917
18.132,-67.301,19.000,15.000,EQ,3.000,2002-04-16 10:06:21.990,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106509,82917
18.371,-67.399,2.700,15.000,EQ,3.600,2002-05-11 07:17:15.610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106510,82917
18.299,-67.250,92.800,15.000,EQ,3.000,2002-05-23 23:03:03.310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106512,82917
18.291,-67.109,8.000,15.000,EQ,3.300,2002-06-01 08:54:05.490,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106514,82917
18.264,-67.166,101.200,15.000,EQ,3.300,2002-06-07 21:25:58.940,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106516,82917
18.143,-67.392,19.100,15.000,EQ,3.100,2002-06-08 02:46:43.780,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106517,82917
18.141,-67.293,17.600,15.000,EQ,3.200,2002-06-25 14:48:29.870,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106519,82917
18.114,-67.631,154.400,15.000,EQ,3.300,2002-06-27 19:09:45.110,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106520,82917
18.177,-67.660,5.000,15.000,EQ,3.800,2002-07-16 06:09:08.020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106521,82917
18.160,-67.283,13.700,15.000,EQ,3.000,2002-07-22 10:51:51.820,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106522,82917
18.236,-67.045,16.200,15.000,EQ,3.200,2002-07-26 16:17:24.740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106523,82917
18.159,-67.521,3.100,15.000,EQ,3.500,2002-08-04 14:42:57.040,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106526,82917
18.369,-67.490,24.700,15.000,EQ,3.200,2002-08-12 14:12:33.790,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106528,82917
18.322,-67.671,17.400,15.000,EQ,3.400,2002-08-13 01:02:27.650,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106529,82917
18.472,-67.932,19.400,15.000,EQ,3.400,2002-08-14 09:01:02.650,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106530,82917
18.443,-67.449,23.800,15.000,EQ,3.000,2002-08-15 04:03:22.590,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106531,82917
18.201,-67.350,2.900,15.000,EQ,3.700,2002-08-16 09:50:45.320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106532,82917
18.229,-67.401,26.400,15.000,EQ,3.000,2002-08-17 20:08:16.380,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106533,82917
18.166,-67.764,81.900,15.000,EQ,3.200,2002-08-18 19:40:33.590,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106534,82917
18.164,-67.127,22.100,15.000,EQ,3.100,2002-09-21 22:26:02.630,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106535,82917
18.155,-67.715,69.300,15.000,EQ,3.300,2002-10-01 13:12:46.090,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106536,82917
18.285,-67.625,85.900,15.000,EQ,3.500,2002-10-27 09:36:44.720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106537,82917
18.164,-67.394,11.300,15.000,EQ,3.100,2002-10-28 04:28:25.380,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106538,82917
18.481,-67.384,9.600,15.000,EQ,3.200,2002-11-01 05:40:53.770,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106540,82917
