lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,ID,src
25.297,143.249,386.000,15.000,EQ,4.100,1975-07-25 15:41:47.800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102424,2017-03-10
24.319,142.412,558.900,15.000,EQ,7.200,1955-05-30 12:31:44.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,111260,2017-03-10
25.014,141.799,508.100,15.000,EQ,3.800,2002-05-23 02:08:40.980,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107179,2017-03-10
27.839,140.493,664.000,15.000,EQ,7.800,2015-05-30 11:23:02.110,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106936,2017-03-10
27.808,140.985,673.190,15.000,EQ,4.400,2015-05-30 11:40:54.820,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106937,2017-03-10
27.843,140.612,683.360,15.000,EQ,4.500,2015-05-30 12:10:13.540,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106938,2017-03-10
27.850,140.568,686.390,15.000,EQ,4.000,2015-05-30 12:46:27.990,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106939,2017-03-10
25.025,141.634,516.800,15.000,EQ,4.100,2005-12-02 10:19:28.820,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107196,2017-03-10
25.052,141.617,521.800,15.000,EQ,5.000,2005-12-02 10:19:37.340,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107197,2017-03-10
25.685,141.423,536.200,15.000,EQ,3.700,2006-01-18 15:43:26.740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107198,2017-03-10
27.883,140.710,685.990,15.000,EQ,4.000,2015-06-04 19:59:44.720,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106941,2017-03-10
27.879,140.576,677.640,15.000,EQ,4.900,2015-06-02 21:04:29.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,106940,2017-03-10
24.787,141.752,525.900,15.000,EQ,5.900,1998-02-07 01:13:36.810,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102465,2017-03-10
24.821,141.746,525.300,15.000,EQ,6.400,1998-02-07 01:18:59.500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102466,2017-03-10
24.132,142.402,567.000,15.000,EQ,5.800,1979-05-18 20:18:01.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102476,2017-03-10
24.113,142.244,591.000,15.000,EQ,5.500,1979-05-25 18:15:41.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102477,2017-03-10
25.113,141.611,513.050,15.000,EQ,4.900,2014-03-14 16:28:57.920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107213,2017-03-10
24.321,142.083,541.600,15.000,EQ,4.500,1991-08-18 14:45:07.260,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102480,2017-03-10
24.330,142.046,549.500,15.000,EQ,5.000,1991-08-18 14:45:26.580,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102481,2017-03-10
24.772,142.096,550.000,15.000,EQ,4.200,1998-02-07 01:38:10.220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102485,2017-03-10
24.784,142.070,531.900,15.000,EQ,3.900,1999-01-22 14:25:49.230,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102486,2017-03-10
24.440,142.683,498.900,15.000,EQ,3.600,2005-08-12 18:21:23.290,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107356,2017-03-10
24.478,142.081,391.300,15.000,EQ,4.400,2007-11-02 10:11:19.930,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107361,2017-03-10
24.945,142.014,510.000,15.000,EQ,6.300,2016-08-04 16:24:33.530,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107381,2017-03-10
24.339,142.202,540.340,15.000,EQ,4.400,2017-02-13 20:22:42.630,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107384,2017-03-10
