lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,ID,src
3.438,128.160,180.000,15.000,EQ,4.600,1982-06-25 15:29:12.290,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103231,05-18-17
3.490,127.936,103.000,15.000,EQ,5.600,2007-06-13 17:27:42.440,272.343,18.348,44.143,63.547,167.420,65.765,69.778,29.325,31.167,127.519,100359,05-18-17
3.913,128.215,86.300,15.000,EQ,5.500,2000-04-17 23:07:22.910,90.173,22.849,299.769,64.146,158.515,24.370,61.249,9.575,68.792,102.292,100270,05-18-17
3.598,127.841,76.050,15.000,EQ,4.400,2016-08-05 17:58:09.020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104025,05-18-17
4.627,127.640,123.000,15.000,EQ,5.100,1994-01-01 02:32:12.490,67.390,9.220,288.777,77.792,147.811,36.446,76.568,344.347,54.703,99.735,100186,05-18-17
4.490,127.630,149.400,15.000,EQ,5.000,1990-07-31 13:49:21.640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102321,05-18-17
3.559,127.982,140.000,15.000,EQ,5.600,2010-05-07 07:39:29.820,77.371,1.222,340.753,79.513,156.906,44.734,75.118,357.415,47.140,104.276,100430,05-18-17
3.607,128.113,110.000,15.000,EQ,5.200,1980-01-18 19:06:41.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103224,05-18-17
3.207,127.943,88.620,15.000,EQ,4.000,2016-06-22 19:54:34.610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104022,05-18-17
3.861,127.853,140.270,15.000,EQ,4.300,2016-07-11 22:56:11.130,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104023,05-18-17
3.618,127.777,84.960,15.000,EQ,4.500,2016-07-22 04:02:03.360,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104024,05-18-17
3.849,127.863,108.100,15.000,EQ,5.200,2010-11-27 20:48:37.390,59.833,23.318,151.769,4.480,103.528,77.017,339.883,198.232,70.419,-166.205,100441,05-18-17
3.353,127.939,81.750,15.000,EQ,4.600,2017-01-05 01:31:42.610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104026,05-18-17
3.264,128.308,113.690,15.000,EQ,4.400,2016-04-05 05:52:18.170,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104030,05-18-17
3.405,128.279,79.290,15.000,EQ,4.100,2016-04-12 20:28:01.580,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104032,05-18-17
4.693,127.667,85.200,15.000,EQ,5.400,2011-05-28 20:17:12.960,278.147,13.544,184.490,14.828,321.492,69.723,0.938,231.166,89.120,159.720,100452,05-18-17
4.338,127.756,106.470,15.000,EQ,4.900,2016-01-10 12:45:12.960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104038,05-18-17
4.235,127.847,79.300,15.000,EQ,4.400,2016-03-16 12:15:43.280,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104041,05-18-17
4.560,127.651,128.320,15.000,EQ,4.500,2016-04-26 16:12:38.840,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104042,05-18-17
4.475,127.650,132.250,15.000,EQ,4.500,2016-06-05 15:00:51.360,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104044,05-18-17
4.459,127.687,138.650,15.000,EQ,4.300,2016-09-01 00:53:04.920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104046,05-18-17
4.763,127.377,106.210,15.000,EQ,4.100,2016-11-24 15:29:50.610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104050,05-18-17
4.498,127.522,100.730,15.000,EQ,4.200,2017-01-02 17:51:52.560,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104051,05-18-17
