lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,ID,src
3.620,-74.493,135.000,15.000,EQ,4.300,1977-03-16 16:29:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6702812,iscgem-cc
3.326,-74.120,157.000,15.000,EQ,3.900,1973-12-11 00:41:53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6702078,iscgem-cc
-23.169,-61.466,565.200,7.800,EQ,6.510,1989-02-28 13:01:58,246.963,66.296,88.870,22.163,194.041,23.907,290.045,352.284,67.623,-98.639,6700129,iscgem-cc
-23.113,-61.465,569.000,15.000,EQ,6.500,1989-02-28 13:01:57,246.939,66.304,88.859,22.154,194.029,23.916,290.045,352.271,67.614,-98.643,6700842,iscgem-cc
4.914,-73.342,72.000,15.000,EQ,4.500,1974-06-21 02:58:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6702189,iscgem-cc
4.610,-74.181,90.700,15.000,EQ,nan,1984-03-15 02:07:14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6705137,iscgem-cc
3.256,-74.369,68.900,15.000,EQ,4.000,1998-04-22 00:57:33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6715114,iscgem-cc
4.540,-73.986,71.000,15.000,EQ,4.400,1974-07-07 01:53:01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6702203,iscgem-cc
2.831,-73.994,103.100,15.000,EQ,3.900,1994-01-06 21:19:03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6711687,iscgem-cc
-11.615,-73.462,307.671,0.000,TO,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7901533,ACS16
38.550,136.934,384.400,15.000,EQ,3.900,2007-06-19 22:44:24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,507382,iscgem-cc
62.100,-146.260,200.000,15.000,EQ,0.000,2004-05-16 00:24:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1710407,iscgem-cc
62.623,-145.543,200.100,15.000,EQ,1.600,2013-03-02 17:52:03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1715593,iscgem-cc
62.770,-145.018,172.800,15.000,EQ,2.300,2015-07-02 01:26:53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1733138,iscgem-cc
53.170,178.812,114.800,15.000,EQ,3.200,2015-04-11 11:42:51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1731191,iscgem-cc
54.762,170.853,40.000,15.000,EQ,4.200,1974-04-14 04:07:19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1735096,iscgem-cc
53.323,179.677,70.500,15.000,EQ,2.300,2013-07-05 08:55:01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1717863,iscgem-cc
53.056,179.401,130.700,15.000,EQ,4.400,2013-07-14 11:19:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1718018,iscgem-cc
52.875,-179.907,147.500,15.000,EQ,3.500,2013-06-08 03:33:12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1717425,iscgem-cc
53.664,-175.121,137.000,15.000,EQ,2.500,2009-10-31 13:15:26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1713067,iscgem-cc
53.404,-174.211,162.500,15.000,EQ,3.100,2012-04-17 01:37:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1714586,iscgem-cc
53.260,-173.630,172.200,15.000,EQ,2.600,2014-03-21 22:43:12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1722430,iscgem-cc
53.186,-174.478,167.600,15.000,EQ,2.600,2015-01-16 05:14:40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1729138,iscgem-cc
53.713,-173.995,215.800,15.000,EQ,3.900,2014-01-24 09:29:10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1721299,iscgem-cc
54.075,-171.030,126.500,15.000,EQ,3.000,2013-03-15 21:37:50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1715848,iscgem-cc
57.852,-158.382,111.000,15.000,EQ,nan,2001-09-27 10:07:56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1709214,iscgem-cc
62.262,-154.328,98.600,15.000,EQ,2.800,2012-04-01 14:12:12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1714545,iscgem-cc
61.981,-153.945,103.500,15.000,EQ,nan,2002-05-10 19:19:59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1709513,iscgem-cc
61.950,-153.807,89.600,15.000,EQ,1.300,2014-10-07 20:49:01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1727081,iscgem-cc
64.659,-153.456,99.800,15.000,EQ,2.300,2014-05-14 13:22:46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1723752,iscgem-cc
64.421,-153.640,93.300,15.000,EQ,nan,2002-06-10 05:41:54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1709560,iscgem-cc
