lon,lat
-101.2281,18.8131
-101.1482,18.6815
-101.0015,18.5937
-100.9013,18.4642
-100.7314,18.4228
-100.5618,18.3911
-100.4085,18.4593
-100.3274,18.6084
-100.1691,18.5981
-99.998,18.5613
-99.8267,18.5251
-99.6547,18.4924
-99.4827,18.4597
-99.3087,18.4449
-99.1332,18.4425
-98.9578,18.4401
-98.7849,18.4194
-98.6144,18.3798
-98.4483,18.3634
-98.2943,18.4314
-98.1341,18.402
-98.0271,18.269
-97.9201,18.136
-97.7793,18.0398
-97.6293,17.9707
-97.4943,18.0783
-97.3593,18.1858
-97.227,18.295
-97.1884,18.459
-97.1498,18.623
-97.1112,18.787
-97.0726,18.951
-97.034,19.1151
-96.9954,19.2791
-96.9569,19.4431
-96.9183,19.6071
-96.8797,19.7711
-96.8411,19.9351
-96.9232,20.0228
-97.0957,20.0532
-97.2682,20.0837
-97.4406,20.1141
-97.6131,20.1446
-97.7856,20.1751
-97.9581,20.2055
-98.1306,20.236
-98.303,20.2664
-98.4755,20.2969
-98.648,20.3274
-98.8205,20.3578
-98.9929,20.3883
-99.1654,20.4188
-99.3379,20.4492
-99.5104,20.4797
-99.6828,20.5101
-99.8553,20.5406
-100.0085,20.5266
-100.1078,20.3878
-100.207,20.249
-100.3062,20.1102
-100.4054,19.9715
-100.5046,19.8327
-100.6038,19.6939
-100.703,19.5551
-100.8023,19.4164
-100.9062,19.2808
-101.0114,19.1462
-101.1167,19.0115
