lon,lat
-26.2821,-55.3912
-26.5146,-55.297
-26.75,-55.2052
-27.0083,-55.1329
-27.2674,-55.0617
-27.542,-55.0098
-27.824,-54.9756
-28.113,-54.9578
-28.4019,-54.94
-28.6921,-54.9337
-28.9828,-54.932
-29.2734,-54.9262
-29.5637,-54.9258
-29.8537,-54.9363
-30.1437,-54.9469
-30.4333,-54.9599
-30.6823,-55.0126
-30.8548,-55.1381
-30.7124,-55.256
-30.5182,-55.3727
-30.3241,-55.4893
-30.13,-55.606
-29.9358,-55.7227
-29.7417,-55.8394
-29.5475,-55.9561
-29.3534,-56.0728
-29.1593,-56.1894
-28.9651,-56.3061
-28.771,-56.4228
-28.5686,-56.4627
-28.3507,-56.3597
-28.1328,-56.2567
-27.9149,-56.1537
-27.697,-56.0507
-27.4792,-55.9476
-27.2613,-55.8446
-27.0434,-55.7416
-26.8255,-55.6386
