lon,lat
-26.6484,-60.6267
-26.8932,-60.7104
-27.1389,-60.7934
-27.3903,-60.8714
-27.6416,-60.9495
-27.893,-61.0275
-28.1558,-60.9607
-28.4186,-60.8934
-28.6814,-60.8261
-28.9442,-60.7588
-29.2071,-60.6914
-29.4699,-60.6241
-29.7327,-60.5568
-29.9956,-60.4895
-30.2555,-60.4216
-30.1377,-60.279
-30.0199,-60.1364
-29.9021,-59.9938
-29.7843,-59.8512
-29.6665,-59.7086
-29.5487,-59.566
-29.2993,-59.6271
-29.042,-59.7004
-28.7895,-59.7779
-28.5523,-59.8687
-28.315,-59.9594
-28.0778,-60.0502
-27.8405,-60.141
-27.6033,-60.2318
