lon,lat,depth
170.1455,-22.6066,0
170.3065,-22.4377,1
170.4676,-22.2688,2
170.6286,-22.0999,3
170.7897,-21.9309,4
170.9507,-21.762,5
171.1009,-21.5848,6
171.2431,-21.4017,7
171.3854,-21.2186,8
171.5277,-21.0355,9
171.6699,-20.8524,10
171.8122,-20.6693,11
171.9545,-20.4862,12
172.1428,-20.5723,13
172.3391,-20.7058,14
172.5355,-20.8392,15
172.7319,-20.9727,16
172.9283,-21.1061,17
173.1246,-21.2395,18
173.321,-21.373,19
173.5174,-21.5064,20
173.7138,-21.6399,21
173.9101,-21.7733,22
174.1065,-21.9067,23
174.3029,-22.0402,24
174.4993,-22.1736,25
174.6956,-22.3071,26
174.8553,-22.4425,27
174.6781,-22.5967,28
174.4982,-22.7464,29
174.2641,-22.8045,30
174.03,-22.8626,31
173.7959,-22.9208,32
173.5596,-22.9704,33
173.3218,-23.0137,34
173.084,-23.0571,35
172.8462,-23.1005,36
172.6084,-23.1438,37
172.3698,-23.1795,38
172.1274,-23.1788,39
171.8851,-23.177,40
171.6482,-23.128,41
171.4114,-23.079,42
171.1759,-23.0254,43
170.9454,-22.9543,44
170.715,-22.8832,45
